run_arm,label,field,n,mean,ci_half
fno,cardinality_bucket,test_accuracy_per_train_s,5,0.08512779873666239,0.02064396323248259
fno,coordination,test_r2_per_train_s,5,0.0029379947110118624,0.003001457138598173
fno,current_burstiness,test_r2_per_train_s,5,0.003103815084831408,0.0014456754787551256
fno,current_sparsity,test_r2_per_train_s,5,-0.008203100900971368,0.03434151132238216
fno,domain,test_accuracy_per_train_s,5,0.050389864694997934,0.012832086406922037
fno,frequency_bucket,test_accuracy_per_train_s,5,0.06073168432023639,0.02369787822429321
fno,future_burstiness,test_r2_per_train_s,5,0.003549045597496761,0.0014448800193711643
fno,future_sparsity,test_r2_per_train_s,5,-0.01564350885188458,0.046707328835406584
fno,metric_type,test_accuracy_per_train_s,5,0.031540132583410825,0.008231407750369263
fno,shift_risk,test_r2_per_train_s,5,-0.0006405150195307043,0.0004632631035020176
pretrained_lp,cardinality_bucket,test_accuracy_per_train_s,5,0.0076909965481745165,0.0012817570381854827
pretrained_lp,coordination,test_r2_per_train_s,5,0.09051015343783257,0.04228901391500697
pretrained_lp,current_burstiness,test_r2_per_train_s,5,0.032340152498391145,0.025908935933793988
pretrained_lp,current_sparsity,test_r2_per_train_s,5,0.12931551264619046,0.23308390377489122
pretrained_lp,domain,test_accuracy_per_train_s,5,0.03993029296935094,0.026882931341927586
pretrained_lp,frequency_bucket,test_accuracy_per_train_s,5,0.13797450554774807,0.02762825008230738
pretrained_lp,future_burstiness,test_r2_per_train_s,5,0.08478744881875026,0.05481628117653731
pretrained_lp,future_sparsity,test_r2_per_train_s,5,0.11486993448438583,0.1915701977281443
pretrained_lp,metric_type,test_accuracy_per_train_s,5,0.03925697322037876,0.028027000878908317
pretrained_lp,shift_risk,test_r2_per_train_s,5,0.13058881330094008,0.07692530720977608
random_init_lp,cardinality_bucket,test_accuracy_per_train_s,5,0.050425091076977305,0.027224297395405595
random_init_lp,coordination,test_r2_per_train_s,5,-0.006608291585416463,0.009367276210677917
random_init_lp,current_burstiness,test_r2_per_train_s,5,0.005080668416334634,0.004785726309783684
random_init_lp,current_sparsity,test_r2_per_train_s,5,0.02796824920187675,0.0755720999707463
random_init_lp,domain,test_accuracy_per_train_s,5,0.025745966923247654,0.03392362865006312
random_init_lp,frequency_bucket,test_accuracy_per_train_s,5,0.06014699799044659,0.025455285070814702
random_init_lp,future_burstiness,test_r2_per_train_s,5,0.00798640851749609,0.003699793416884032
random_init_lp,future_sparsity,test_r2_per_train_s,5,0.04059719659114433,0.09085673651947383
random_init_lp,metric_type,test_accuracy_per_train_s,5,0.028560140328878252,0.01060353607138112
random_init_lp,shift_risk,test_r2_per_train_s,5,0.033161396865787736,0.05149870745119744
