run_arm,label,metric,n,mean,ci_half
fno,cardinality_bucket,test_accuracy,5,0.9692085650859245,0.0042931499517763995
pretrained_lp,coordination,test_r2,5,0.06529966199861525,0.02770205070782664
random_init_lp,coordination,test_r2,5,-0.04145921005699588,0.011259243437232948
fno,domain,test_accuracy,5,0.47058957481338054,0.01574089384519217
pretrained_lp,domain,test_accuracy,5,0.5326021833821774,0.018152920060992766
random_init_lp,domain,test_accuracy,5,0.4071255428241436,0.013059999416986113
fno,frequency_bucket,test_accuracy,5,0.7883744965662263,0.04439844098645539
pretrained_lp,frequency_bucket,test_accuracy,5,0.8581592701694378,0.013942297862009099
random_init_lp,frequency_bucket,test_accuracy,5,0.6770264682008912,0.033095648639781206
fno,metric_type,test_accuracy,5,0.3521433834918125,0.037614916994667826
pretrained_lp,metric_type,test_accuracy,5,0.5939511154184951,0.014111588118892564
random_init_lp,metric_type,test_accuracy,5,0.42508553586656317,0.012098661887769249
pretrained_lp,shift_risk,test_r2,5,-1.648575059576968,0.8894986554726664
random_init_lp,shift_risk,test_r2,5,-0.20362377069509133,0.14708423525948627
